DATE,DX32,DT90,DT00,DT32,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
20050401,9,0,0,25,1,1.63,10,9.54,68.9,59,18,40.1,27,33.6
20050501,0,0,0,11,0,0.8,6,3.46,7.5,73.9,27,50,36.5,43.3
20050601,0,0,0,11,0,0.92,0,5.07,2,71.1,24.1,47.1,35.1,41
20050701,0,0,0,1,1,1.41,0,2.48,0,79,32,62.1,44.4,53.2
20050801,0,0,0,1,0,0.47,0,0.93,0,75.9,27,65.1,45.5,55.2
20050901,0,0,0,2,2,5.14,0,7.43,2,64,30.9,51.6,38.5,45
20051001,3,0,0,17,3,2.89,1,9.14,13,59,24.1,45.3,31.6,38.5
20051101,15,0,0,21,9,2.51,6,17.69,136.9,61,12.9,37.6,28.8,33.1
20051201,11,0,0,26,10,2.73,9,18.9,103.5,57,12,35.2,24.3,29.7
20060101,24,0,0,30,13,3.18,17,30.31,239.1,50,12.9,31.5,23,27.1
20060201,17,0,1,28,4,2.67,18,11.15,88,48,-2,29.7,17.4,23.5
20060301,20,0,0,31,2,1.6,22,8.81,118.7,42.1,9,30.7,21,25.9
20060401,6,0,0,26,0,0.79,21,4.95,45.5,60.1,12.9,41.2,26.1,33.6
20060501,0,0,0,14,1,1.43,17,4.06,7,72,21,49.3,34.3,41.7
20060601,0,0,0,8,2,1.06,12,4.49,0,79,26.1,53.8,38.8,46.6
20060701,0,0,0,1,0,0.56,3,1,0,84,32,64.9,44.6,54.9
20060801,0,0,0,5,0,0.28,0,0.52,0,75,28.9,62.4,43.7,53.1
20060901,0,0,0,8,1,1.54,0,4.87,2.5,79,23,57.6,40.6,49.1
20061001,2,0,0,14,1,1.5,1,3.01,3,64,16,45.5,30.6,37.9
20061101,4,0,0,5,16,11.3,9,46.93,191.5,48.9,3.9,36.1,24.3,30.6
20061201,8,0,0,28,7,1.92,10,13.17,90.6,53.1,12.9,35.8,23.9,29.8
20070101,14,0,0,27,2,2.7,15,8.3,69,50,6.1,32.5,20.8,26.8
20070201,11,0,0,25,5,2.08,18,14.89,129.5,54,15.1,36.5,25.2,30.9
20070301,4,0,0,17,5,3.76,18,17.33,63.9,52,12.9,40.6,27.9,34.2
20070401,2,0,0,23,0,0.96,15,4.82,37.4,63,16,40.3,26.8,33.4
20070501,0,0,0,11,1,1.85,14,5.18,26.5,73.9,27,52.3,36.3,44.4
20070601,0,0,0,5,0,0.81,10,3.67,4,73.9,28,53.6,39.4,46.4
20070701,0,0,0,0,0,0.04,3,0.05,0,82,41,64.2,48,56.1
20070801,0,0,0,0,0,0.38,0,0.98,0,73.9,36,57.2,43,50.2
20070901,1,0,0,6,0,0.6,0,2.1,0.3,73.9,28.9,53.6,40.8,47.7
20071001,1,0,0,18,5,2.3,2,13.34,26.8,73,25,43.9,32.7,38.3
20071101,6,0,0,20,4,1.78,4,9.37,41.5,59,16,39.4,28.6,34
20071201,22,0,0,27,5,3,12,15.29,157.8,42.1,14,28.4,21.2,24.8
20080101,22,0,0,30,7,2.01,17,15.48,201.5,46,7,30,19.6,24.8
20080201,5,0,0,18,1,1.16,20,4.11,69,54,15.1,37.4,25.7,31.6
20080301,17,0,0,28,6,1.43,25,13.18,175.9,48.9,9,34,21.2,27.5
20080401,13,0,0,25,0,0.88,24,5.07,78.3,69.1,10.9,36.3,23,29.7
20080501,0,0,0,6,1,1.42,22,2.35,0.5,78.1,21,49.3,35.8,42.6
20080601,0,0,0,7,1,1.74,18,2.36,19.5,70,24.1,49.6,34.2,41.9
20080701,0,0,0,1,0,0.02,12,0.04,0,77,30,63.9,38.8,51.4
20080801,0,1,0,0,0,0.7,2,2.1,0,91,33.1,64.8,47.8,56.3
20080901,0,0,0,2,0,0.51,0,1.16,0,86,28.9,58.8,43.5,51.3
20081001,1,0,0,6,0,0.75,1,0.8,5.5,66,14,50.5,26.8,38.7
20081101,2,0,0,17,6,6.9,1,22.76,49.6,60.1,21,41.5,31.3,36.7
20081201,21,0,2,28,10,2.85,9,21.15,240,57,-0.9,29.8,20.1,25
20090101,8,0,0,12,2,1.19,12,3.94,76,64.9,10.9,41.9,28.2,35.1
20090201,9,0,0,24,2,1.45,13,4.66,55.4,55.9,10,38.1,24.4,31.3
20090301,15,0,0,29,4,1.91,19,13.03,174.6,46,8.1,32,20.5,26.2
20090401,1,0,0,21,1,2.65,21,3.41,28,68,16,46.6,27,36.9
20090501,0,0,0,16,4,2.49,18,8.06,53.6,75.9,15.1,52,32,42.1
20090601,0,0,0,0,0,0.69,13,1.21,0.1,72,34,57.9,41.9,50
20090701,0,0,0,1,0,0.42,3,0.42,0,81,32,66.7,40.5,53.6
20090801,0,0,0,1,0,0.68,0,1.11,0,82.9,32,61.9,43.9,52.9
20090901,0,0,0,1,2,1.57,0,3.59,0.3,78.1,28,61.9,44.6,53.2
20091001,2,0,0,17,2,2.6,1,6.26,1.1,53.1,21,41.9,31.3,36.7
20091101,13,0,0,26,5,2.25,7,16.04,156.2,66.9,19,35.4,26.8,31.1
20091201,13,0,1,28,3,1.67,9,9.22,65.5,54,-0.9,32.7,21,27
20100101,8,0,0,27,6,1.46,11,12.86,78.4,46,21,36.1,28.2,32.2
20100201,2,0,0,26,0,0.93,13,7.18,67.4,48,21.9,37.2,27.3,32.2
20100301,6,0,0,21,1,1.3,16,3.41,40.4,54,9,40.5,25.3,32.9
20100401,5,0,0,16,1,1.15,18,4.19,49,59,18,38.7,25.3,32
20100501,0,0,0,15,2,4,18,9.64,31.7,62.1,21,42.6,30.4,36.5
20100601,0,0,0,13,1,1.05,14,6.17,2.1,66,26.1,50.9,34.2,42.6
20100701,0,0,0,4,0,0.22,7,0.23,0,81,28.9,66.9,45.3,56.1
20100801,0,0,0,3,0,0.48,0,0.85,0,84,30.9,64.9,43.7,54.3
20100901,0,0,0,1,1,2.8,0,8.15,0,70,30,54.3,41,47.7
20101001,3,0,0,10,5,3.6,4,14.38,40.2,68,26.1,49.3,37.8,43.5
20101101,14,0,2,21,1,1.85,7,8.95,143.9,64.9,-4,34.5,24.6,29.5
20101201,21,0,0,30,3,1.62,11,9.48,93.8,42.1,6.1,30,21.9,26.1
20110101,10,0,0,26,8,5.12,12,25.63,76.5,50,8.1,33.8,24.8,29.3
20110201,17,0,1,26,2,1.57,16,9.56,100.6,45,0,29.3,18,23.7
20110301,27,0,0,30,6,3.25,21,15.95,195.5,39,12.9,30.2,21.2,25.7
20110401,22,0,0,30,9,1.9,25,17.27,170.2,48,15.1,31.5,21.4,26.4
20110501,2,0,0,25,0,0.85,25,4.3,36.2,60.1,19,40.3,25.7,33.1
20110601,0,0,0,19,0,0.86,21,3.69,8.8,63,24.1,49.3,32.4,40.8
20110701,0,0,0,3,0,0.18,14,0.66,0,70,30,56.3,38.8,47.7
20110801,0,0,0,0,0,0.1,6,0.2,0,73,34,61.5,43,52.2
20110901,0,0,0,2,0,0.79,0,2.05,0,78.1,30.9,62.2,44.4,53.2
20111001,1,0,0,15,3,1.74,0,5.89,4.1,63,23,44.1,33.1,38.7
20111101,15,0,0,27,7,2.38,7,15.45,153.8,46.9,10.9,33.8,21.9,27.9
20111201,6,0,0,29,4,8.9,8,18.4,44.1,54,12.9,37.9,24.3,31.1
20120101,8,0,0,17,3,2.24,14,7.97,122.6,46,7,34.7,19.4,27.1
20120201,13,0,0,27,5,5.34,18,16.75,106,51.1,10,33.1,21.6,27.3
20120301,22,0,0,29,4,1.5,23,14.98,198,52,7,30.7,19.9,25.3
20120401,5,0,0,23,1,2.29,23,7.9,35,64,12.9,40.6,25.7,33.1
20120501,3,0,0,21,3,1.6,20,6.13,32.1,69.1,19.9,45.7,30.2,37.9
20120601,1,0,0,15,1,1.22,15,7.09,6.5,63,25,46.2,33.6,39.9
20120701,0,0,0,1,0,0.35,10,0.71,0,78.1,32,61.2,45.1,53.2
20120801,0,0,0,0,0,0,0,0,0,79,34,65.1,47.3,56.3
20120901,0,0,0,3,0,0.4,0,0.5,0,77,30,62.2,44.8,53.4
20121001,7,0,0,13,9,3.25,1,20.3,30,64,23,47.1,34,40.6
20121101,8,0,0,21,1,2.2,4,8.78,65,54,14,36.9,27.1,32
20121201,23,0,0,28,7,2.5,14,16.61,230.5,35.1,14,27.9,19.9,23.9
20130101,12,0,0,23,4,2.1,16,9.42,111.8,55.9,8.1,36.3,24.4,30.4
20130201,15,0,0,21,1,1.3,18,3.21,87.9,51.1,15.1,31.3,20.8,26.1
20130301,10,0,0,22,5,1.6,19,9.05,89.1,57,12.9,34.5,23.4,28.9
20130401,7,0,0,21,4,2,21,8.86,93,59,17.1,39.4,27,33.1
20130501,2,0,0,15,3,1.05,18,7.7,33.9,66.9,18,47.1,34,40.6
20130601,0,0,0,6,0,0.67,13,2.99,0.3,70,30,52.5,38.3,45.3
20130701,0,0,0,0,0,0.01,5,0.01,0,80.1,36,64.2,46.9,55.6
20130801,0,0,0,0,0,0.7,0,2.39,0,72,42.1,63.1,47.7,55.4
20130901,0,0,0,6,5,3.07,1,14.39,10.5,75.9,30,56.7,43.3,50
20131001,0,0,0,13,1,2.8,1,2.8,3,64.9,19.9,50.2,35.6,42.8
20131101,5,0,0,17,4,1.7,3,8.11,43.5,55.9,14,39,28,33.4
20131201,13,0,3,25,5,3,6,12.26,45.5,45,-4,29.7,18.5,24.1
20140101,8,0,0,16,4,1.64,11,9.58,99.7,62.1,15.1,41.7,30.2,36
20140201,21,0,3,26,7,2.2,18,14.83,145.3,45,-7.1,28,17.8,22.8
20140301,13,0,0,28,9,2.9,20,18.41,135.5,51.1,16,35.4,25.2,30.2
20140401,0,0,0,20,2,1.17,20,6.24,91.9,54,19.9,40.3,26.4,33.3
20140501,0,0,0,9,1,1.1,19,3.21,20.6,66,26.1,45,33.4,39.2
20140601,0,0,0,7,1,1.28,14,4.43,1.3,64,28.9,50.4,36.3,43.3
20140701,0,0,0,0,1,1.4,8,2.67,0,77,37,64.9,47.7,56.3
20140801,0,0,0,0,1,1.78,0,3.19,0,81,37,64.8,48.7,56.7
20140901,0,0,0,0,2,1.25,0,3.78,0,73.9,34,58.3,43.7,51.1
20141001,0,0,0,9,6,2,1,10.6,10.3,73.9,26.1,52.3,35.2,43.9
20141101,7,0,0,15,2,3.05,2,6.85,8.3,53.1,7,36.1,24.8,30.4
20141201,11,0,0,22,6,3.15,7,15.97,78.1,43,10,33.6,25.2,29.5
20150101,4,0,0,19,4,3.1,7,9.05,35.2,60.1,18,42.8,29.7,36.1
20150201,3,0,0,19,4,2.87,7,10.15,39.3,54,19,40.5,29.3,34.9
20150301,1,0,0,15,2,1.7,8,4.41,24.8,57.9,19,43.7,29.5,36.7
20150401,1,0,0,22,3,1.9,9,6.94,52.6,59,17.1,41.9,26.4,34.2
20150501,0,0,0,9,0,0.2,6,0.73,5.1,66.9,23,51.3,36.9,44.1
20150601,0,0,0,0,0,0.09,0,0.09,0,81,34,64,47.1,55.6
20150701,0,0,0,0,0,0.33,0,0.52,0,80.1,37.9,65.1,49.3,57.2
20150801,0,0,0,0,2,1.94,-9999,3.73,-9999,80.1,37,64.6,47.5,55.9
20150901,0,0,0,5,0,0.51,0,3.04,0,75.9,28.9,52.2,39.6,45.9
20151001,0,0,0,4,4,4,0,9.76,0,64.9,30.9,52.3,40.3,46
20151101,12,0,0,29,8,4.8,3,25.85,79.6,53.1,19,36.9,25.5,31.3
20151201,17,0,0,24,8,3.51,14,18.05,226.6,42.1,10.9,30.2,23.4,26.8
