Year,Month,Year.Month,Date,Recreation.Visitors,NonRecreation.Visitors,Concession.Lodging,Tent.Campers,RV.Campers,Concession.Camping,Backcountry.Campers,Misc.Campers,TotalOvernightStays
2010,April,2010-04,2010-04-01,23661,294,475,0,0,0,798,0,1273
2010,May,2010-05,2010-05-01,56037,32577,1907,582,350,0,2308,99,5246
2010,June,2010-06,2010-06-01,186060,79473,6077,5085,2379,0,5601,1140,20282
2010,July,2010-07,2010-07-01,276729,134174,10350,22815,7851,0,10259,2658,53933
2010,August,2010-08,2010-08-01,287090,149481,10540,23718,8259,0,12743,2357,57617
2010,September,2010-09,2010-09-01,160833,58026,8042,6440,3402,0,5744,1327,24955
2010,October,2010-10,2010-10-01,66114,68404,1475,700,619,0,400,33,3227
2010,November,2010-11,2010-11-01,35042,17734,276,0,0,0,67,0,343
2010,December,2010-12,2010-12-01,20509,0,590,0,0,0,393,0,983
2011,January,2011-01,2011-01-01,21157,0,496,0,0,0,762,0,1258
2011,February,2011-02,2011-02-01,20023,0,656,0,0,0,1479,0,2135
2011,March,2011-03,2011-03-01,17283,0,470,0,0,0,967,0,1437
2011,April,2011-04,2011-04-01,20049,0,436,0,0,0,860,0,1296
2011,May,2011-05,2011-05-01,39096,7854,1406,288,165,0,1965,102,3926
2011,June,2011-06,2011-06-01,90181,19599,5710,4359,2004,0,5704,1117,18894
2011,July,2011-07,2011-07-01,243791,122844,9510,18705,6654,0,9257,2446,46572
2011,August,2011-08,2011-08-01,272128,142097,9825,23199,7653,0,11402,2530,54609
2011,September,2011-09,2011-09-01,196242,80735,7593,9103,4323,0,6965,1551,29535
2011,October,2011-10,2011-10-01,66499,70056,999,283,288,0,309,0,1879
2011,November,2011-11,2011-11-01,31614,14196,336,0,0,0,82,0,418
2011,December,2011-12,2011-12-01,20166,0,570,0,0,0,155,0,725
2012,January,2012-01,2012-01-01,14361,0,323,0,0,0,574,0,897
2012,February,2012-02,2012-02-01,16894,0,556,0,0,0,1548,0,2104
2012,March,2012-03,2012-03-01,15977,0,351,0,0,0,1242,0,1593
2012,April,2012-04,2012-04-01,25320,0,487,0,0,0,936,0,1423
2012,May,2012-05,2012-05-01,62732,42122,1603,902,328,0,2215,414,5462
2012,June,2012-06,2012-06-01,109205,46575,5553,3693,1896,0,4801,1093,17036
2012,July,2012-07,2012-07-01,240018,121232,9922,20289,7536,0,11033,2503,51283
2012,August,2012-08,2012-08-01,275146,140228,9916,26709,9063,0,14046,2490,62224
2012,September,2012-09,2012-09-01,185340,68785,8043,9934,4813,0,8422,1957,33169
2012,October,2012-10,2012-10-01,59049,62818,845,669,473,0,567,64,2618
2012,November,2012-11,2012-11-01,28224,14322,253,0,0,0,48,0,301
2012,December,2012-12,2012-12-01,16912,0,538,0,0,0,133,0,671
2013,January,2013-01,2013-01-01,21735,0,566,0,0,0,621,0,1187
2013,February,2013-02,2013-02-01,16937,0,662,0,0,0,1612,0,2274
2013,March,2013-03,2013-03-01,22315,0,660,0,0,0,1213,0,1873
2013,April,2013-04,2013-04-01,14102,0,385,0,0,0,851,0,1236
2013,May,2013-05,2013-05-01,51227,47046,1661,563,204,0,1876,88,4392
2013,June,2013-06,2013-06-01,178339,81102,6278,4986,2166,0,5715,789,19934
2013,July,2013-07,2013-07-01,286562,143344,9602,21765,9216,0,12493,2804,55880
2013,August,2013-08,2013-08-01,287340,152800,9799,26484,9228,0,14524,3891,63926
2013,September,2013-09,2013-09-01,154566,64908,7434,6062,3388,0,6700,1023,24607
2013,October,2013-10,2013-10-01,38478,44449,261,0,0,0,164,0,425
2013,November,2013-11,2013-11-01,59344,39708,285,0,0,0,84,0,369
2013,December,2013-12,2013-12-01,17607,0,515,0,0,0,122,0,637
2014,January,2014-01,2014-01-01,23824,0,464,0,0,0,878,0,1342
2014,February,2014-02,2014-02-01,10641,0,492,0,0,0,785,0,1277
2014,March,2014-03,2014-03-01,19935,0,548,0,0,0,1347,0,1895
2014,April,2014-04,2014-04-01,31295,0,454,0,0,0,787,0,1241
2014,May,2014-05,2014-05-01,55951,29378,1906,1159,406,0,2290,33,5794
2014,June,2014-06,2014-06-01,161513,69342,6668,5580,2574,0,5825,984,21631
2014,July,2014-07,2014-07-01,263948,120717,9823,17358,13458,0,13015,4056,57710
2014,August,2014-08,2014-08-01,320378,165088,9820,25824,9180,0,14735,3718,63277
2014,September,2014-09,2014-09-01,173827,65001,7552,8168,4214,0,7963,1289,29186
2014,October,2014-10,2014-10-01,76384,90444,1680,666,683,0,561,0,3591
2014,November,2014-11,2014-11-01,111446,71420,348,0,0,0,63,0,411
2014,December,2014-12,2014-12-01,15117,0,506,0,0,0,430,0,936
2015,January,2015-01,2015-01-01,28663,0,406,0,0,0,315,0,721
2015,February,2015-02,2015-02-01,18527,0,573,0,0,0,503,0,1076
2015,March,2015-03,2015-03-01,30565,0,449,0,0,0,790,0,1239
2015,April,2015-04,2015-04-01,49589,20617,680,0,0,0,1011,0,1691
2015,May,2015-05,2015-05-01,69225,61914,2753,1826,571,0,2759,23,7932
2015,June,2015-06,2015-06-01,160878,75904,7724,9891,3444,0,5450,53,26562
2015,July,2015-07,2015-07-01,271118,139932,9662,23280,7572,0,13789,2405,56708
2015,August,2015-08,2015-08-01,259670,129276,9494,24426,7926,0,10633,119,52598
2015,September,2015-09,2015-09-01,179756,75165,8022,8047,4390,0,7519,65,28044
2015,October,2015-10,2015-10-01,75827,78659,1785,1014,1182,0,905,2,4887
2015,November,2015-11,2015-11-01,71663,40064,448,0,0,0,99,0,547
2015,December,2015-12,2015-12-01,21750,0,605,0,0,0,523,0,1128
